Source feature	Target feature	Weight	Dependency
SAHUL001	SAHUL003	2.22044604925031e-16	1
SAHUL003	SAHUL006	2.22044604925031e-16	1
SAHUL006	SAHUL024	2.22044604925031e-16	1
SAHUL012	SAHUL2.8.04	2.22044604925031e-16	1
SAHUL014	SAHUL2.8.04	2.22044604925031e-16	1
SAHUL015	SAHUL2.6.04	2.22044604925031e-16	1
SAHUL022	SAHUL3.1.01	2.22044604925031e-16	1
SAHUL023	SAHUL2.9.01ax	2.22044604925031e-16	1
SAHUL024	SAHUL2.1.05a	2.22044604925031e-16	1
SAHUL024	SAHUL2.1.05b	2.22044604925031e-16	1
SAHUL024	SAHUL2.7.04	2.22044604925031e-16	1
SAHUL024	SAHUL3.2.07	2.22044604925031e-16	1
SAHUL024	SAHUL4.4.04	2.22044604925031e-16	1
SAHUL025	SAHUL2.1.05c	2.22044604925031e-16	1
SAHUL025	SAHUL3.2.07	2.22044604925031e-16	1
SAHUL028	SAHUL3.3.05	2.22044604925031e-16	1
SAHUL033	SAHUL1.1.04	2.22044604925031e-16	1
SAHUL034	SAHUL079	2.22044604925031e-16	1
SAHUL034	SAHUL2.8.06	2.22044604925031e-16	1
SAHUL035	SAHUL1.1.14	2.22044604925031e-16	1
SAHUL036	SAHUL3.3.06	2.22044604925031e-16	1
SAHUL037	SAHUL3.1.04	2.22044604925031e-16	1
SAHUL039	SAHUL2.7.05	2.22044604925031e-16	1
SAHUL042	SAHUL5.1.01	2.22044604925031e-16	1
SAHUL045	SAHUL2.2.03	2.22044604925031e-16	1
SAHUL045	SAHUL2.3.01	2.22044604925031e-16	1
SAHUL046	SAHUL038	2.22044604925031e-16	1
SAHUL046	SAHUL2.1.03	2.22044604925031e-16	1
SAHUL046	SAHUL2.8.02	2.22044604925031e-16	1
SAHUL046	SAHUL3.3.19	2.22044604925031e-16	1
SAHUL046	SAHUL3.5.06	2.22044604925031e-16	1
SAHUL047	SAHUL055	2.22044604925031e-16	1
SAHUL048	SAHUL3.3.20	2.22044604925031e-16	1
SAHUL050	SAHUL051	2.22044604925031e-16	1
SAHUL051	SAHUL2.9.01ax	2.22044604925031e-16	1
SAHUL051	SAHUL2.9.02ax	2.22044604925031e-16	1
SAHUL053	SAHUL016	0.27604816358576	0.72395183641424
SAHUL053	SAHUL019	0.338975321641906	0.661024678358094
SAHUL053	SAHUL135	2.22044604925031e-16	1
SAHUL053	SAHUL152	0.415490413212463	0.584509586787537
SAHUL054	SAHUL098	2.22044604925031e-16	1
SAHUL054	SAHUL121	2.22044604925031e-16	1
SAHUL054	SAHUL129	2.22044604925031e-16	1
SAHUL054	SAHUL3.3.03	2.22044604925031e-16	1
SAHUL055	SAHUL2.3.03	2.22044604925031e-16	1
SAHUL059	SAHUL2.7.03	2.22044604925031e-16	1
SAHUL065	SAHUL004	0.634335122395058	0.365664877604942
SAHUL065	SAHUL2.6.09a	2.22044604925031e-16	1
SAHUL065	SAHUL2.6.09b	2.22044604925031e-16	1
SAHUL067	SAHUL054	2.22044604925031e-16	1
SAHUL067	SAHUL2.7.03a	2.22044604925031e-16	1
SAHUL067	SAHUL2.7.03b	2.22044604925031e-16	1
SAHUL076	SAHUL3.3.04	2.22044604925031e-16	1
SAHUL079	SAHUL2.8.06	2.22044604925031e-16	1
SAHUL079	SAHUL5.1.02	2.22044604925031e-16	1
SAHUL081	SAHUL3.3.01	2.22044604925031e-16	1
SAHUL081	SAHUL4.2a.04	0.268791357325482	0.731208642674518
SAHUL086	SAHUL5.2.07	0.419537349944879	0.580462650055121
SAHUL088	SAHUL2.9.01ax	2.22044604925031e-16	1
SAHUL090	SAHUL092	0.319193088727652	0.680806911272348
SAHUL095	SAHUL4.3.06	2.22044604925031e-16	1
SAHUL096	SAHUL2.5.07	2.22044604925031e-16	1
SAHUL096	SAHUL4.3.05a	2.22044604925031e-16	1
SAHUL096	SAHUL5.1.04	2.22044604925031e-16	1
SAHUL098	SAHUL2.4.04	2.22044604925031e-16	1
SAHUL098	SAHUL3.3.04	2.22044604925031e-16	1
SAHUL109	SAHUL3.2.07	2.22044604925031e-16	1
SAHUL115	SAHUL2.8.06	2.22044604925031e-16	1
SAHUL120	SAHUL046	2.22044604925031e-16	1
SAHUL120	SAHUL2.1.04	2.22044604925031e-16	1
SAHUL120	SAHUL2.7.05	2.22044604925031e-16	1
SAHUL120	SAHUL3.3.19	2.22044604925031e-16	1
SAHUL120	SAHUL3.5.03	2.22044604925031e-16	1
SAHUL122	SAHUL5.2.05	0.313171716990554	0.686828283009446
SAHUL123	SAHUL2.4.10	2.22044604925031e-16	1
SAHUL123	SAHUL2.8.05	2.22044604925031e-16	1
SAHUL123	SAHUL3.3.04	2.22044604925031e-16	1
SAHUL124	SAHUL052	2.22044604925031e-16	1
SAHUL125	SAHUL3.3.02	2.22044604925031e-16	1
SAHUL126	SAHUL3.2.07	2.22044604925031e-16	1
SAHUL127	SAHUL5.2.06	0.485897037500553	0.514102962499447
SAHUL130	SAHUL4.1.01	2.22044604925031e-16	1
SAHUL132	SAHUL133	0.26444914210029	0.73555085789971
SAHUL134	SAHUL097	2.22044604925031e-16	1
SAHUL138	SAHUL5.1.06	2.22044604925031e-16	1
SAHUL139	SAHUL5.2.11	0.368582190081675	0.631417809918325
SAHUL157	SAHUL3.2.07	2.22044604925031e-16	1
SAHUL158	SAHUL2.8.06	2.22044604925031e-16	1
SAHUL159	SAHUL3.2.08	2.22044604925031e-16	1
SAHUL160	SAHUL3.1.02	1.88737914186277e-15	0.999999999999998
SAHUL1.1.02	SAHUL135	2.22044604925031e-16	1
SAHUL1.1.03	SAHUL2.7.03	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL007	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL030	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL032	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL036	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL038	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL043	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL044	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL062	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL067	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL086	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL101	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL107	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL117	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL128	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL137	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL146	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL155	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL1.1.02	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL2.3.02	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL2.3.06	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL2.7.01	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL2.7.02	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL3.1.03	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL3.2.04	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL3.3.13	2.22044604925031e-16	1
SAHUL1.1.04	SAHUL3.3.19	2.22044604925031e-16	1
SAHUL1.1.14	SAHUL136	2.22044604925031e-16	1
SAHUL1.1.14	SAHUL2.5.07	2.22044604925031e-16	1
SAHUL1.2.01	SAHUL104	2.22044604925031e-16	1
SAHUL1.2.01	SAHUL134	2.22044604925031e-16	1
SAHUL1.2.03	SAHUL015	2.22044604925031e-16	1
SAHUL1.2.03	SAHUL104	2.22044604925031e-16	1
SAHUL2.1.02	SAHUL053	2.22044604925031e-16	1
SAHUL2.1.02	SAHUL085	2.22044604925031e-16	1
SAHUL2.1.02	SAHUL104	2.22044604925031e-16	1
SAHUL2.1.03	SAHUL047	2.22044604925031e-16	1
SAHUL2.1.03	SAHUL050	2.22044604925031e-16	1
SAHUL2.1.03	SAHUL085	2.22044604925031e-16	1
SAHUL2.1.03	SAHUL104	2.22044604925031e-16	1
SAHUL2.1.03	SAHUL125	2.22044604925031e-16	1
SAHUL2.1.03	SAHUL2.1.05d	2.22044604925031e-16	1
SAHUL2.1.03	SAHUL2.4.01	2.22044604925031e-16	1
SAHUL2.1.03	SAHUL4.3.09a	2.22044604925031e-16	1
SAHUL2.1.04	SAHUL008	2.22044604925031e-16	1
SAHUL2.1.04	SAHUL088	2.22044604925031e-16	1
SAHUL2.1.04	SAHUL104	2.22044604925031e-16	1
SAHUL2.1.05a	SAHUL039	2.22044604925031e-16	1
SAHUL2.1.05b	SAHUL3.2.07	2.22044604925031e-16	1
SAHUL2.1.05c	SAHUL3.2.07	2.22044604925031e-16	1
SAHUL2.3.02	SAHUL038	2.22044604925031e-16	1
SAHUL2.3.03	SAHUL3.3.06	2.22044604925031e-16	1
SAHUL2.3.06	SAHUL5.2.12	2.22044604925031e-16	1
SAHUL2.4.01	SAHUL104	2.22044604925031e-16	1
SAHUL2.4.01	SAHUL3.5.02	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL007	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL011	0.405639062229567	0.594360937770433
SAHUL2.4.04	SAHUL015	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL025	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL035	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL038	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL041	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL043	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL061	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL078	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL093	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL114	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL122	0.5	0.5
SAHUL2.4.04	SAHUL126	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL147	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL160	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL2.1.05b	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL2.1.05d	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL3.3.03	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL3.5.05	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL3.6.05	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL3.7.04	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL3.7.07	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL4.3.08	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL4.3.09a	2.22044604925031e-16	1
SAHUL2.4.04	SAHUL4.3.11	2.22044604925031e-16	1
SAHUL2.4.06	SAHUL104	2.22044604925031e-16	1
SAHUL2.4.06	SAHUL145	2.22044604925031e-16	1
SAHUL2.4.10	SAHUL1.1.12	2.22044604925031e-16	1
SAHUL2.4.10	SAHUL4.3.05	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL002	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL005	0.371923927534841	0.628076072465159
SAHUL2.5.01a	SAHUL020	0.296081910965866	0.703918089034134
SAHUL2.5.01a	SAHUL021	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL056	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL065	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL072	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL095	0.381307360104279	0.618692639895721
SAHUL2.5.01a	SAHUL099	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL109	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL116	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL135	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL139	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL140	0.266319563348789	0.733680436651211
SAHUL2.5.01a	SAHUL153	0.356529087579503	0.643470912420497
SAHUL2.5.01a	SAHUL1.1.03	0.404034913659339	0.595965086340661
SAHUL2.5.01a	SAHUL1.2.01	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL2.1.02	0.459147917027246	0.540852082972754
SAHUL2.5.01a	SAHUL2.1.04	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL2.4.06	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL2.6.09a	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL2.9.01ax	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL2.9.01x	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL2.9.04x	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL3.2.07	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL3.3.01	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL4.3.05a	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL4.3.09d	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL5.2.01	2.22044604925031e-16	1
SAHUL2.5.01a	SAHUL5.2.04	0.420619835714305	0.579380164285695
SAHUL2.5.01a	SAHUL5.2.10	2.22044604925031e-16	1
SAHUL2.5.11	SAHUL142	2.22044604925031e-16	1
SAHUL2.6.09	SAHUL008	2.22044604925031e-16	1
SAHUL2.6.09b	SAHUL028	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL015	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL018	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL025	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL027	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL047	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL081	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL085	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL090	0.552753251531933	0.447246748468067
SAHUL2.7.04	SAHUL100	0.297983123819007	0.702016876180993
SAHUL2.7.04	SAHUL101	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL104	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL106	0.297983123819006	0.702016876180994
SAHUL2.7.04	SAHUL108	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL130	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL146	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL2.1.05a	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL2.1.05b	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL2.1.05d	2.22044604925031e-16	1
SAHUL2.7.04	SAHUL4.3.09a	2.22044604925031e-16	1
SAHUL2.7.05	SAHUL013	2.22044604925031e-16	1
SAHUL2.7.05	SAHUL017	0.215355806262285	0.784644193737715
SAHUL2.7.05	SAHUL035	2.22044604925031e-16	1
SAHUL2.7.05	SAHUL045	2.22044604925031e-16	1
SAHUL2.7.05	SAHUL062	2.22044604925031e-16	1
SAHUL2.7.05	SAHUL068	2.22044604925031e-16	1
SAHUL2.7.05	SAHUL081	2.22044604925031e-16	1
SAHUL2.7.05	SAHUL085	2.22044604925031e-16	1
SAHUL2.7.05	SAHUL103	0.386528868065718	0.613471131934282
SAHUL2.7.05	SAHUL104	2.22044604925031e-16	1
SAHUL2.7.05	SAHUL108	2.22044604925031e-16	1
SAHUL2.7.05	SAHUL119	2.22044604925031e-16	1
SAHUL2.7.05	SAHUL123	0.17528622764293	0.82471377235707
SAHUL2.7.05	SAHUL127	2.22044604925031e-16	1
SAHUL2.7.05	SAHUL3.4.01	0.459927066841277	0.540072933158723
SAHUL2.8.02	SAHUL008	2.22044604925031e-16	1
SAHUL2.8.02	SAHUL021	2.22044604925031e-16	1
SAHUL2.8.02	SAHUL038	2.22044604925031e-16	1
